Scrape Date,Scrape Time,Product Name,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,SKU,Brands,Cover Camera,Operating System,Internal Memory,Chipset,Main Camera,Selfie Camera,Bluetooth,Colorways,Tags,This item,Rear Camera,Inner Camera,Outer Camera,Storage,Camera,Selfie,NB,Front Camera,Length,Type,Current,Color,Material,Weight,Size,g>y,Primary Camera,Rear camera,Selfie camera,Operating system,Colour,Colours,Network,Display Size,Resolution,Secondary Camera,Ports,Screen,Refresh Rate,Fingerprint,Price 1,Price 2
2024-09-28,21:59:28,Tecno Camon 20 Pro 5G,0 Reviews,IN STOCK,8 GB,256GB,"5000 mAh, 33W wired",,,"6.67 inches, AMOLED, 120Hz",,Mediatek Dimensity 8050,"Dual Sim, 3G, 4G, 5G, Wi-Fi","Black, Blue","Android 13, HIOS 13",,,,Tecno,,,,,64MP + 2MP + 2MP,,,,,,,,,,,,,32MP,,,,,,,,,,,,,,,,,,,,,,,"KSh 30,500","KSh 27,500"
2024-09-28,21:59:45,Tecno Camon 20 Premier 5G,0 Reviews,IN STOCK,8 GB,512  GB,5000 mAh,108 MP + 50 MP + 2 MP,32 MP,"6.67 inches, AMOLED, 120Hz",,Mediatek Dimensity 8050 (6 nm),"Dual sim, 3G, 4G, 5G, Wi-Fi","Dark Welkin, Serenity Blue","Android 13, HIOS 13",,,,Tecno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 55,000","KSh 47,000"
2024-09-28,22:00:00,Tecno Camon 20 Pro 4G,,,8 GB,"128GB, 256GB","5000 mAh, 33W wired",,,"6.67 inches, AMOLED, 120Hz",,Mediatek Helio G99,"Dual Sim, 3G, 4G, Wi-Fi","Predawn Black, Serenity Blue, Doodle edition","Android 13, HIOS 13",,,,Tecno,,,,,64MP + 2MP + 2MP,,,,,,,,,,,,,32MP,,,,,,,,,,,,,,,,,,,,,,,"KSh 45,000","KSh 29,500"
2024-09-28,22:00:26,Tecno Pop 7,0 Reviews,IN STOCK,2GB,,5000 mAh,,,6.6 inches,,Mediatek MT6761 Helio A22,"Dual sim, 4G, Wi-Fi","Endless Black, Capri Blue","Android 12, HIOS 12",,,,Tecno,,,,,,,,,,,,,,64 GB,8 MP + QVGA,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 14,500","KSh 12,000"
2024-09-28,22:01:48,Vivo Y28 4G,0 Reviews,IN STOCK,"6GB, 8GB.","128GB, 256GB; expandable via microSD card (shared)","6,000 mAh, 44W charging",,,"6.68 inches, IPS LCD",,Mediatek Helio G85 (12 nm),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Agate Green, Gleaming Orange","Android 14, Funtouch 14",,,N/A,,,,,,,,,,,,,,,,"50MP + 2MP rear, 8MP front lens",,,,,,,,,,,,,,,,,,,,,,"USB Type-C, OTG",,,,"KSh 22,500","KSh 24,800"
2024-09-28,22:02:03,Vivo Y18 4G,0 Reviews,IN STOCK,4/6/8 GB,128GB/256GB,,50 MP + 0.08 MP,8 MP,"6.56 inches, IPS LCD, 840 nits (HBM)",,,"Dual SIM, 3G, 4G, Wi-Fi","Mocha Brown, Wave Aqua","Android 14, Funtouch 14",,,N/A,,,,,Mediatek Helio G85 (12 nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 20,000","KSh 18,500"
2024-09-28,22:02:18,Vivo Y03,0 Reviews,IN STOCK,4GB,"64GB, 128GB","5,000mAh, 15W charging",,,"6.56 inches, IPS LCD",,Mediatek Helio G85 (12nm),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Space Black, Gem Green","Android 14, Funtouch 14",,,N/A,,,,,,,,,,,,,,,,"13MP + 0.08MP rear, 5MP front lens",,,,,,,,,,,,,,,,,,,,,,"USB Type-C, OTG",,,,"KSh 13,700","KSh 15,500"
2024-09-28,22:02:30,Vivo V30 Lite,0 Reviews,IN STOCK,16GB RAM (8GB + 8GB ),,5000 mAh – Type C 80W,,,"1 Billion Colors, 1300 nits",,685 Snapdragon® (6nm),,,,,,,,,,,,,,,,,,50MP Wide OIS + 8MP Ultra Wide,,,256GB ROM,,,,Selfie Group 50MP,,,,"Breeze Green, Crystal Black",,,,,,,,,,,,,,,,6.67” AMOLED – 2400×1080,"60 Hz, 120 Hz",In-display Optical Fingerprint Sensor,"KSh 35,500","KSh 33,500"
2024-09-28,22:02:45,Vivo V30 5G,0 Reviews,IN STOCK,"8GB, 12GB",,"5,000 mAh, non-removable",,,"6.78 inches, AMOLED",,,5G,,,,,,,,,"128GB, 256GB, 512GB",Qualcomm Snapdragon 7 Gen 3 (4 nm),50MP + 50MP,50 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 62,500","KSh 58,000"
2024-09-28,22:02:57,Vivo Y27s,0 Reviews,IN STOCK,8 GB,128GB/256GB,"5,000 mAh",50 MP + 2 MP,8 MP,"6.64 inches, IPS LCD, 600 nits (peak)",,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Dual SIM, 3G, 4G, Wi-Fi","Burgundy Black, Garden Green","Android 13, Funtouch 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 33,500","KSh 32,500"
2024-09-28,22:03:11,Vivo V29,,IN STOCK,12GB,256GB,"5,000 mAh",50 MP + 8 MP + 2MP,850MP,"6.78-inchAMOLED, 1B colors, 120Hz, HDR10+",,"Octa-core, Qualcomm SM7325 Snapdragon 778G 5G (6 nm)","Dual SIM, 3G, 4G, 5G, Wi-Fi","Space Black, Himalayan Blue, Purple Fairy, Majestic Red","Android 13, Funtouch 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 62,800","KSh 57,500"
2024-09-28,22:03:25,Vivo V29e,0 Reviews,IN STOCK,8 GB,256GB,"4,800 mAh",64MP + 8MP,50MP,"6.67-inch, AMOLED, 120Hz, 1150 nits (peak)",,"Octa-core, Qualcomm SM6375 Snapdragon 695 5G (6 nm)","Dual SIM, 3G, 4G, 5G, Wi-Fi","Forest Black, Rose Gold, Ice Creek Blue","Android 13, Funtouch 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 48,500","KSh 45,500"
2024-09-28,22:03:40,Vivo Y17s,0 Reviews,IN STOCK,6GB,128GB,"5,000 mAh",50 MP + 2 MP,8 MP,6.56 inches,,Octa-core Mediatek MT6769 Helio G85 (12nm),"Dual SIM, 3G, 4G, Wi-Fi","Glitter Purple, Forest Green","Android 13, Funtouch 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 22,500","KSh 20,500"
2024-09-28,22:03:56,Vivo Y02t,0 Reviews,IN STOCK,4GB,64GB,"5,000 mAh",8MP,5MP,6.51 inches,,Octa-core Mediatek MT6765 Helio P35 (12nm),"Dual SIM, 3G, 4G, Wi-Fi","Orchid Blue, Cosmic Grey, Sunset Gold","Android 13, Funtouch 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 18,000","KSh 17,200"
2024-09-28,22:04:13,Vivo Y35,0 Reviews,IN STOCK,8GB,128GB,5000 mAh,50 MP + 2 MP+ 2 MP,16 MP,6.58 inches,,Snapdragon 680 4G,"Dual SIM, 3G, 4G, Wi-Fi","Dawn Gold, Agate Black","Android 11, Funtouch 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 29,999","KSh 26,500"
